fall26,monday,tuesday,wednesday,thursday,friday,saturday,sunday
12 am–1 am,[X] Matty T | 934,row-bot | 899,[SP] Radio Arcana w/ The Fool | 873,[X] Ian S | 958,Evan Poradzisz | 910,,
1 am–2 am,,,,,,,
2 am–3 am,,,,,,,
3 am–4 am,,,,,,,
4 am–5 am,,,,,,,
5 am–6 am,,,,,,,
6 am–7 am,,,,,,,
7 am–8 am,,,,georg | 6,,,
8 am–9 am,,Joe R | 885,,georg | 6,,,
9 am–10 am,leafhead | 883,,Brian | 19,,,DJ names are dumb | 148,
10 am–11 am,leafhead | 883,[X] Ravi K | 953,,[SP] Pinhook and Country Soul Songbook w/ Kym | 698,,DJ names are dumb | 148,[SP] Out There A Minute w/ Spencer | 733
11 am–12 pm,Swataa | 918,,Dudek | 822,[SP] Pinhook and Country Soul Songbook w/ Kym | 698,,DJ names are dumb | 148,[SP] Out There A Minute w/ Spencer | 733
12 pm–1 pm,Sarah R | 22,[X] Wiley R | 905,Dudek | 822,,Nathan | 926,Cole Faloon | 598,Dan | 520
1 pm–2 pm,Sarah R | 22,tracksuits | 938,"bhatman / Susan | 858,846",Nora | 914,[X] Hobs A | 931,Cole Faloon | 598,Dan | 520
2 pm–3 pm,magpie | 957,,,DJ Marty C | 434,"[X] Celina C / Hayes W | 897,936",,Sarah O | 4
3 pm–4 pm,polispinoza | 929,Sally | 864,row-bot | 899,DJ Marty C | 434,Madison L | 872,Rajee K | 732,Sarah O | 4
4 pm–5 pm,[SP] Music & Spirituality w/ Rabbi Elana | 628,Shelby | 845,Sunnyvee | 868,Professor G | 639,[SP] Tokyo Rewind w/ hierophant | 779,Rajee K | 732,[SP] Local Music Hour
5 pm–6 pm,,Lily | 951,Craig Layabout | 83,Professor G | 639,[SP] Tokyo Rewind w/ hierophant | 779,,[SP] News/Sports
6 pm–7 pm,Alex | 831,[SP] The Bull City Cosmic Hoedown w/ Washboard Dave | 32,[X] Bijan T | 927,Max Fischer | 477,Laura | 902,,Mumbly Joe | 97
7 pm–8 pm,Winslow | 859,[SP] The Bull City Cosmic Hoedown w/ Washboard Dave | 32,Uncle Randy & Cousin Zoë | 932,Max Fischer | 477,[X] Johanna M | 836,,Mumbly Joe | 97
8 pm–9 pm,DJ Sweet J | 860,Jeep Ward Behind the Board | 665,[X] Hannah S | 949,[SP] Strings Attached w/ DJace | 869,,,Mystery Show | 748
9 pm–10 pm,DJ Exodus | 875,Jeep Ward Behind the Board | 665,[SP] Gravity w/ Soul Survivor | 685,JSANT | 906,,,[SP] Who's Got The Cuckoo?! w/ Robby | 9
10 pm–11 pm,blondie | 911,[SP] LOUD w/ southpawpaw | 181,[SP] BULLY-CITY | 98,[SP] Mixed Reality w/ DJ REPLI | 870,[SP] Street Flava Mixshow w/ DeeJay Samps | 54,@jdl.farcaster | 881,DJLNM | 928
11 pm–midnight,,[SP] LOUD w/ southpawpaw | 181,[SP] BULLY-CITY | 98,[SP] Mixed Reality w/ DJ REPLI | 870,[SP] Street Flava Mixshow w/ DeeJay Samps | 54,@jdl.farcaster | 881,DJLNM | 928
